,document,summary,generated_summary
28,"Rimanews - Non Dera Anggia Putri Prawitasari atau akrab disapa Dera pernah menghebohkan pemberitaan saat foto wanita   mirip dengannya tengah mengecup wanita lain beredar di dunia maya. Kini, beredar foto mirip Dera bersama pasangan wanitanya yang berparas cantik. Dalam foto yang diunggah akun gosip lambenyinyir, tampak pemilik akun Instagram Dera Siagian tengah berkomunikasi dengan salah seorang temannya. Saat itu, sang teman memuji paras cantik   teman wanita Dera yang disebut femme, sebutan untuk pasangan wanita lesbi. Dera dalam foto tersebut memang tampak tengah memandang wanita bergaun hitam yang memegang lehernya. Di foto itu, Dera tampak macho layaknya butchi, pasangan wanita laki-laki. Sementara itu, dalam layout foto yang telah beredar sebelumnya, wanita yang diduga jebolan ajang pencarian bakat Indonesia Idol tersebut terlihat tengah asik berciuman dengan sesama jenis. Ada pula yang pose keduanya tampak rebahan di atas ranjang.","Beredar foto mirip Dera bersama pasangan wanitanya yang berparas cantik. Dalam foto yang diunggah akun gosip lambenyinyir, tampak pemilik akun Instagram Dera Siagian tengah berkomunikasi dengan salah seorang temannya. Saat itu, sang teman memuji paras cantik   teman wanita Dera yang disebut femme, sebutan untuk pasangan wanita lesbi."," non dera anggia putri prawitasari atau akrab disapa dera pernah menghebohkan pemberitaan saat foto wanita mirip dengannya tengah mengecup wanita lain beredar di dunia maya. kini, beredar foto mirip dera bersama pasangan wanitanya yang berparas cantik. dalam foto yang diunggah akun gosip lambenyinyir, tampak pemilik akun instagram dera siagian tengah berkomunikasi dengan salah seorang temannya. saat itu, sang teman memuji paras cantik"
29,"JUARA.NET, JAKARTA - Pebulu tangkis tunggal putra Indonesia, Anthony Sinisuka Ginting, memastikan tuan rumah meraih gelar juara pertama pada Indonesia Masters 2018. Kepastian tersebut didapat setelah Anthony menumbangkan wakil Jepang, Kazumasa Sakai, 21 - 13, 21 - 12, pada partai final yang berlangsung di Istora Senayan, Jakarta, Minggu (28 / 1 / 2018). Pertandingan penuh dengan teknik netting terjadi sepanjang laga. Anthony sempat tertinggal dalam perebutan poin-poin awal pada gim pertama. Perlahan tapi pasti, Anthony mampu menyamakan kedudukan dan unggul pada interval 11 - 9. Keunggulan wakil Indonesia ini berlanjut selepas interval dan semakin terlihat menjelang akhir gim pertama. (Baca Juga: Manajer Baru Tim Repsol Honda Pandang Remeh Ducati) Pengamatan bola yang keliru dari Sakai membuat Anthony sukses unggul mencuri gim pertama. Pada awal gim kedua, Anthony sempat memimpin jauh 8 - 2, Sakai menipiskan selisih poin. Smes keras dari Anthony di lapangan membuat dia unggul pada interval 11 - 7.","Pebulu tangkis tunggal putra Indonesia, Anthony Sinisuka Ginting, memastikan tuan rumah meraih gelar juara pertama pada Indonesia Masters 2018. Kepastian tersebut didapat setelah Anthony menumbangkan wakil Jepang, Kazumasa Sakai, 21 - 13, 21 - 12, dalam waktu 33 menit pada partai final yang berlangsung di Istora Senayan, Jakarta, Minggu (28 / 1 / 2018). Pertandingan ini berjalan dengan penuh teknik   netting   terjadi sepanjang laga."," pebulu tangkis tunggal putra indonesia, anthony sinisuka ginting, memastikan tuan rumah meraih gelar juara pertama pada indonesia masters 2018. kepastian tersebut didapat setelah anthony menumbangkan wakil jepang, kazumasa sakai pada 21 - 13, 21 - 12, pada partai final yang berlangsung di istora senayan, jakarta, minggu (28 / 1 / 2018). pertandingan penuh dengan teknik netting terjadi sepanjang laga"
30,"Jakarta, CNN Indonesia - - Menteri Kesehatan (Menkes) Nila Farid Moeloek mengatakan, akan meminta keterangan Rumah Sakit (RS) Mitra Keluarga soal kematian bayi Debora   Simanjorang. Bayi tersebut diduga meninggal karena penyakit dan tidak ditangani cepat pihak RS. "" Hari ini kita tentu dari Dinas Kesehatan DKI dan Kementerian Kesehatan akan pergi ke rumah sakit. Kita harus dengarkan dari dua pihak, jadi tidak hanya satu pihak, "" kata Nila di Perguruan Tinggi Ilmu Kepolisian (PTIK), Jakarta Selatan, Senin (11 / 9). Nila menjelaskan, sudah ada regulasi bagaimana RS menangani pasien gawat darurat yang tercantum dalam Undang-Undang Nomor 44 Tahun 2009 tentang Rumah Sakit. RS harus menangani pasien gawat darurat tanpa memikirkan biaya terlebih dahulu. Adapun beleid Pasal 29 ayat 1 butir (f) UU itu menyebutkan, setiap rumah sakit berkewajiban untuk melaksanakan fungsi sosial antara lain dengan memberikan fasilitas pelayanan pasien tidak mampu / miskin, pelayanan gawat darurat tanpa uang muka, ambulan gratis, pelayanan korban bencana dan kejadian luar biasa, atau bakti sosial bagi misi kemanusiaan. "" Tapi melihat dari apa yang dijawab rumah sakit, mereka menolong dan kemudian kita harus tahu sampai sejauh mana keadaan penyakit anak tersebut. Itu yang harus kita lihat, apa pun juga barang kali akan sulit, mungkin di sini yang harus kita lihat dulu, "" kata Nila. Berdasarkan yang dibaca Nila, orang tua bayi Debora   sempat meminta jumlah biaya pengobatan tersebut. Ia mewajarkan hal tersebut dan mengerti keadaan orang tua yang menanyakan biaya pengobatan. "" Nah ini nanti kita konformasi, mana yang benar mana yang tidak benar. Sementara itu dulu, hari ini kita akan dapat klarifikasi, "" kata Nila. Kisah Debora, bayi berusia empat bulan itu dimulai sejak ia meninggal pada Minggu (3 / 9) pekan lalu. Sebelumnya, Debora mengalami batuk berdahak dan sesak nafas. Orang tuanya, Henny Silalahi dan Rudianto Simanjorang membawa Debora ke RS Mitra Keluarga, Kalideres, Jakarta Barat. Debora tiba di Instalasi gawat darurat (IGD) RS tersebut, namun kondisinya yang memburuk Debora dinyatakan harus segera dibawa ke ruang pediatric intensive care unit (PICU). Diketahui untuk bisa masuk ke ruang tersebut, uang muka Rp 19,8 juta harus disediakan. Kartu BPJS Kesehatan yang dimiliki tak bisa digunakan karena rumah sakit swasta itu tak punya kerja sama. Orang tua bayi Debora   kemudian berusaha mencari rumah sakit yang bekerja sama dengan BPJS agar anaknya bisa dirawat ke ruang PICU. Namun ruangan yang dinilai bisa menyelematkan nyawa anaknya itu tak kunjung didapatkan. Sekitar 6 jam di IGD, Debora tak bisa diselamatkan. Ia dinyatakan meninggal sekitar pukul 10.00 WIB. (djm / djm)","Menteri Kesehatan Nila Farid Moeloek mengatakan, akan meminta keterangan RS Mitra Keluarga soal kematian bayi Debora. Bayi tersebut diduga meninggal karena penyakit dan tidak ditangani cepat pihak RS. Nila menjelaskan, sudah ada regulasi bagaimana RS menangani pasien gawat darurat yang tercantum dalam Undang-Undang No.44 Tahun 2009 tentang Rumah Sakit. RS harus menangani pasien gawat darurat tanpa memikirkan biaya terlebih dahulu."," menteri kesehatan (menkes) nila farid moeloek mengatakan, akan meminta keterangan rumah sakit mitra keluarga soal kematian bayi debora simanjorang. bayi tersebut diduga meninggal karena penyakit dan tidak ditangani cepat pihak rs. "" hari ini kita tentu dari dinas kesehatan dki dan kementerian kesehatan akan pergi ke rumah sakit. kita harus dengarkan dari dua pihak, jadi tidak hanya satu pihak, "" kata nila. nila menjelaskan"
31,"Persija Jakarta akhirnya memastikan bakal merekrut eks penyerang asing PSM Makassar Reinaldo Elias da Costa. Hal itu diungkapkan asisten manajer Persija Ardhi Tjahjoko. Rencananya, secara resmi pemain kelahiran Brasil berpaspor Australia itu bakal diperkenalkan sebagai pemain anyar Persija, Selasa (8 / 8). "" Semua saat ini masih dalam proses, begitu semuanya beres dia akan segera bergabung. Sekitar 90 persen dia sudah menjadi milik Persija, "" kata Ardhi. SIMAK JUGA:   Rekor Ternoda, Persija Minta Maaf Seperti diketahui, Reinaldo sebelumnya memang telah memutuskan untuk berpisah dengan PSM. Hal itu cukup mengejutkan, mengingat dia menjadi topskor tim Juku Eja pada putaran pertama dengan koleksi sembilan gol. SIMAK JUGA:   Menang Atas Persija, Jacksen Sebut Bakal Sulit Tidur Reinaldo sendiri sempat mengungkapkan alasan dirinya memilih hengkang lantaran PSM bakal mendatangkan striker asing baru. Persija yang baru saja melepas Luis Carlos Junior pun mencoba mengambil kesempatan dengan status Reinaldo saat ini. "" Lini depan saya rasa sudah bagus, hanya kurang tajam dalam penyelesaian akhir. Mudah - mudahan dengan bergabungnya Reinaldo akan menambah tajam lagi lini depannya, "" jelas Ardhi.","Persija Jakarta memastikan bakal merekrut eks penyerang asing PSM Makassar Reinaldo Elias da Costa. Hal itu diungkapkan asisten manajer Persija Ardhi Tjahjoko. Rencananya, secara resmi pemain kelahiran Brasil berpaspor Australia itu bakal diperkenalkan sebagai pemain anyar Persija, Selasa (8 / 8). Reinaldo sebelumnya telah memutuskan berpisah dengan PSM. Reinaldo sendiri sempat mengungkapkan alasan dirinya hengkang lantaran PSM bakal mendatangkan striker asing baru."," persija jakarta akhirnya memastikan bakal merekrut eks penyerang asing psm makassar reinaldo elias da costa. hal itu diungkapkan asisten manajer persija ardhi tjahjoko. rencananya, secara resmi pemain kelahiran brasil berpaspor australia itu bakal diperkenalkan sebagai pemain anyar persija, selasa (8 / 8). "" semua saat ini masih dalam proses, begitu semuanya beres dia akan segera bergabung. sekitar 90 persen dia sudah menjadi milik"
32,"Jakarta, CNN Indonesia - - Film animasi terbaru Disney dan Pixar, Coco masih bertahan di puncak box office Amerika Utara sebelum seri terbaru Star Wars, The Last Jedi rilis pada pekan ini. Menurut data Box Office Mojo, Coco berhasil menjual tiket sebesar US$18,3 juta pada akhir pekan lalu sehingga menempatkan film tersebut di posisi pertama box office pekan ini. Selama tiga pekan penayangan, film keluarga berlatar nuansa Meksiko tersebut telah mengumpulkan pendapatan domestik sebesar US$135,5 juta dan US$254 juta di pasar internasional. Total, Coco telah mendapatkan US$389,5 juta atau Rp 5,2 triliun dari seluruh dunia. Perolehan tiga pekan di puncak box office oleh Coco membuat film ini bergabung dengan The Hitman's Bodyguard dan Fate of the Furious serta Split sebagai film yang memuncaki box office selama tiga pekan berturut-turut pada 2017. Di sisi lain, capaian menguasai box office ini diprediksi akan beralih pada film Star Wars: The Last Jedi yang rilis secara serentak pada 15 Desember nanti. Diberitakan Reuters, film terbaru dari serial waralaba Star Wars tersebut akan menghentak box office dengan prediski pendapatan pembukaan mencapai USD $200 juta. Di posisi dua box office pekan ini ada film Warner Bros dan DC, Justice League. Film ini menurun 42 persen di pekan keempatnya. Pekan ini, film para superhero DC tersebut memperoleh US$9,5 juta. Sejak dirilis pada 17 November 2017, Justice League memperoleh pendapatan domestik sebesar US$212 juta dan US$401 juta di pasar internasional. Total, film berbujet US$300 juta tersebut telah membawa US$613 juta atau Rp 8,3 triliun. Film keluarga Wonder masih menempati posisi tiga box office dengan pendapatan US$8,4 juta. Posisi empat diisi oleh film The Disaster Artist yang meraih US$6,4 juta. Sedangkan posisi lima diisi oleh film Marvel dan Disney, Thor: Ragnarok yang masih bertahan di posisi lima besar box office dengan pendapatan pekan ini mencapai US$6,2 juta. Total selama enam pekan penayangan di bioskop, Thor yang berbujet US$180 juta tersebut telah mengumpulkan US$833,1 juta atau lebih dari Rp 11,2 triliun. (end)","Coco masih bertahan di puncak box office Amerika Utara sebelum seri terbaru Star Wars, The Last Jedi rilis pada pekan ini. Menurut data Box Office Mojo, Coco berhasil menjual tiket sebesar US$18,3 juta pada akhir pekan lalu sehingga menempatkan film tersebut di posisi pertama box office pekan ini. Coco   telah mendapatkan US$389,5 juta atau Rp 5,2 triliun dari seluruh dunia."," film animasi terbaru disney dan pixar, coco masih bertahan di puncak box office amerika utara sebelum seri terbaru star wars, the last jedi rilis. menurut data box office mojo, coco berhasil menjual tiket sebesar us$18,3 juta pada akhir pekan lalu sehingga menempatkan film tersebut di posisi pertama box office pekan ini. selama tiga pekan penayangan, film keluarga berlatar nuansa meksiko tersebut telah mengumpulkan pendapatan domestik sebesar"
33,"Jakarta, CNN Indonesia - - Komisi Pemberantasan Korupsi (KPK) akan mendalami pengakuan mantan Ketua DPR Setya Novanto terkait dugaan Gubernur Jawa Tengah Ganjar Pranowo menerima uang dari proyek e - KTP sebesar US$500 ribu. Lembaga antirasuah itu menyesuaikan pengakuan terdakwa korupsi proyek pengadaan e - KTP itu dengan bukti-bukti yang ada. "" Tentu kita harus lihat kesesuaian bukti satu dengan yang lainnya. Barulah kami bisa mendalami fakta-fakta persidangan tersebut, "" kata Juru Bicara KPK Febri Diansyah saat dikonfirmasi, Jumat (9 / 2). Febri menyatakan, fakta persidangan yang muncul kemarin itu perlu dicermati lebih lanjut. Pada persidangan kemarin, Setnov mengaku mendapat laporan dari Mustokoweni, Ignatius Mulyono, Miryam S Haryani, dan pengusaha Andi Agustinus alias Andi Narogong soal penerimaan uang Ganjar. "" Tentu saja fakta persidangan perlu dicermati terlebih dahulu, misalnya dikatakan Setya Novanto mendengar dari Andi Agustinus, "" tuturnya. Febri menambahkan, pihaknya mengimbau kepada Setnov bila ingin membuka peran pihak lain untuk disampaikan pada proses persidangan maupun penyidikan, ketika diperiksa sebagai saksi untuk tersangka lainnya. Proses persidangan dan penyidikan terbuka untuk Setnov mengungkap peran pihak lain. "" Meskipun keterangan tersebut harus kita kroscek dan kita pastikan kesesuaian atau tidak kesesuaian dengan bukti-bukti atau saksi yang lain, "" kata Febri. Sebelum Setnov mengungkap dugaan penerimaan uang proyek e - KTP oleh Ganjar pada persidangan lalu, mantan Bendahara Umum Partai Demokrat Muhammad Nazaruddin telah lebih dulu menyampaikan hal tersebut. Nazaruddin dalam persidangan terdakwa korupsi proyek e - KTP lainnya menegaskan bahwa mantan Wakil Ketua Komisi II DPR itu menerima uang dari proyek e - KTP sebesar US$500 ribu. Bahkan, Nazaruddin mengaku melihat langsung penerimaan uang Ganjar. Pernyataan Setnov kemarin itu langsung dibantah Ganjar. Politikus PDIP itu menegaskan tak pernah menerima uang dari proyek e - KTP, baik lewat Mustokoweni, Miryam maupun Andi Narogong. (wis)","KPK akan mendalami pengakuan mantan Ketua DPR Setya Novanto terkait dugaan Gubernur Jawa Tengah Ganjar Pranowo menerima uang dari proyek e - KTP sebesar US$500 ribu. KPK menyesuaikan pengakuan terdakwa korupsi proyek pengadaan e - KTP itu dengan bukti-bukti yang ada. "" Tentu kita harus lihat kesesuaian bukti satu dengan yang lainnya. Barulah kami bisa mendalami fakta-fakta persidangan tersebut, "" kata Juru Bicara KPK Febri Diansyah"," kpk akan mendalami pengakuan mantan ketua dpr setya novanto terkait dugaan gubernur jawa tengah ganjar pranowo menerima uang dari proyek e - ktp sebesar us$500 ribu. lembaga antirasuah itu menyesuaikan pengakuan terdakwa korupsi proyek pengadaan e - e itu dengan bukti-bukti yang ada. "" tentu kita harus lihat kesesuaian bukti satu dengan yang lainnya. barulah kami bisa mendalami fakta-fakta persidangan tersebut, """
34,"TURKI– Lebih dari 40 orang, sebagian besar mantan anggota unit pasukan khusus Turki, dijatuhi hukuman seumur hidup setelah dinyatakan terbukti bersalah mencoba membunuh Presiden Recep Tayyip Erdogan. Dalam persidangan di Mugla, kota di Turki barat daya hari Rabu (04 / 10), hakim menyatakan terdakwa menyerang hotel di resor wisata tepi laut di Marmaris, yang menjadi tempat penginapan Presiden Erdogan ketika berlangsung upaya kudeta yang gagal pada 15 Juli 2016. “ Para terdakwa bersalah mencoba membunuh Presiden Erdogan, ” kata hakim Emirsah Bastog. Seorang terdakwa dibebaskan sementara vonis untuk tiga terdakwa lain yang diadili secara in absentia, termasuk ulama terke Pemerintah Turki menuduh Gulen sebagai otak kudeta, tuduhan yang sudah ditolak oleh Gulen, Setidaknya 240 orang tewas pada 15 Juli tahun ketika tentara menyerang parlemen dengan menggunakan tank, helikopter dan pesawat tempur dalam upaya untuk menggulingan pemerintah. ’15 menit dari maut’ Presiden Erdogan sendiri meninggalkan tempat peristirahatan di Marmaris sebelum serangan dilancarkan, yang menewaskan dua anggota polisi. Dalam wawancara dengan CNN, Presiden Erdogan mengatakan, “ Andai saja saya bertahan 10 atau 15 menit lebih lama (di hotel), saya akan terbunuh atau disandera . ” Presiden Erdogan dan keluarganya menginap di Hotel Grand Yazici dan meninggalkan tempat wisata ini menuju Istanbul dengan menggunakan pesawat pada malam upaya kudeta dilakukan. Beberapa analis menepis klaim Presiden Erdogan karena sudah meninggalkan hotel sebelum ‘ regu tembak’ tiba di hotel tempat Erdogan dan keluarganya menginap. Menurut komite parlemen yang menyelidiki insiden ini, 34 anggota pasukan khusus tiba di hotel pada 03.20 dini hari, sementara Erdogan mendarat di Istanbul pada 03.40. Setidaknya 200 pendukung Erdogan mendesak hakim menjatuhkan hukuman mati kepada para tedakwa. Mereka meneriakkan tuntutan ini di luar gedung pengadilan, kata kantor berita AFP. “ Jatuhkan hukuman mati … kami ingin keadilan, ” kata mereka. Turki menghapus hubungan mati pada 2004 dalam upaya untuk menjadi anggota Uni Eropa. (BBC)","Lebih dari 40 orang, sebagian besar mantan anggota unit pasukan khusus Turki, dijatuhi hukuman seumur hidup setelah dinyatakan terbukti bersalah mencoba membunuh Presiden Recep Tayyip Erdogan. Dalam persidangan di Mugla, Rabu (04 / 10), hakim menyatakan terdakwa menyerang hotel di resor wisata tepi laut di Marmaris, yang menjadi tempat penginapan Presiden Erdogan ketika berlangsung upaya kudeta yang gagal pada 15 Juli 2016."," lebih dari 40 orang, sebagian besar mantan anggota unit pasukan khusus turki, dijatuhi hukuman seumur hidup setelah dinyatakan terbukti bersalah mencoba membunuh presiden recep tayyip erdogan. dalam persidangan di mugla, kota di turki barat daya hari rabu (04 / 10), hakim menyatakan terdakwa menyerang hotel di resor wisata tepi laut di marmaris, yang menjadi tempat penginapan presiden erdogan ketika berlangsung upaya kudeta yang gagal"
35,"Banjir di India dan sekitarnya tidak hanya merengut korban manusia, sejumlah satwa langka ikut mati dalam musibah ini. Hingga Minggu (20 / 8), sudah lebih dari 225 satwa di Taman Nasional Kaziranga, Provinsi Assam, India, mati. Termasuk harimau benggala dan badak India yang dikenal sebagai hewan langka. Direktur Taman Nasional Kaziringa, Satyendra Singh menyebutkan, banjir telah merendam hampir seluruh kawasan hutan lindung tersebut. Menurutnya, musibah ini adalah yang terparah dalam rentang 30 tahun terakhir. Tercatat ada sekitar 15 badak India, 185 rusa, dan seekor harimau benggala telah ditemukan bangkainya selama banjir. "" Bangkai satwa tampak mengapung. Ini adalah pemandangan yang menyedihkan, "" kata Satyendra seperti dilansir dari Al - Jazeera. Taman Nasional Kaziringa memiliki luas 430 kilometer persegi merupakan kawasan yang ditetapkan sebagai warisan dunia oleh UNESCO. Kini hampir 80 persen wilayah yang terendam banjir. Tergenangnya rumah bagi badak bercula satu di India telah menyebabkan beberapa hewan berpindah ke daerah lebih tinggi. Selain itu, ada juga yang tampak bermigrasi ke jalan raya terdekat. Banjir yang juga merendam Nepal dan Bangladesh, telah merenggut lebih dari 578 korban jiwa. Korban manusia dalam musibah ini diakibatkan karena tenggelam, tertimpa runtuhan rumah, dan tanah longsor. Hingga kini, diperkirakan lebih dari 16 juta orang terdampak banjir yang menggenang sejumlah wilayah di tiga negar tersebut.","Banjir di India dan sekitarnya tidak hanya merengut korban manusia, sejumlah satwa langka ikut mati. Hingga Minggu (20 / 8), sudah lebih dari 225 satwa di Taman Nasional Kaziranga, Provinsi Assam, India, mati. Termasuk harimau benggala dan badak India yang dikenal sebagai hewan langka. Tercatat ada sekitar 15 badak India, 185 rusa, dan seekor harimau benggala telah ditemukan bangkainya selama banjir."," banjir di india dan sekitarnya tidak hanya merengut korban manusia, sejumlah satwa langka ikut mati dalam musibah ini. hingga minggu (20 / 8), sudah lebih dari 225 satwa di taman nasional kaziranga, provinsi assam, india, mati. termasuk harimau benggala dan badak india yang dikenal sebagai hewan langka. banjir telah merendam hampir seluruh kawasan hutan lindung tersebut. menurutnya, musibah ini adalah yang terp"
36,"Butuh waktu bertahun - tahu lamanya bagi seseorang untuk menyandang gelar chef. Lamanya pendidikan yang ditempuh, serta pengalaman dalam bidang makanan menjadi modal dasar seseorang untuk menyandang gelar yang banyak dipuja oleh masyarakat dunia ini. Ketekunan dan kegigihan akan menghasilkan kualitas yang berbeda dari masing-masing chef. Seperti Ben Churchill yang telah berpengalaman dalam bidang masak memasak sejak 10 tahun lalu. Berbeda dari chef pada umunya yang mungkin lebih tertarik bekerja di restoran atau hotel berbintang, Ben justru meninggalkan aktivitas hariannya tersebut untuk menekuni bidang food ilussion. Meskipun masih berkutat di bidang yang sama, nampaknya Ben lebih tertarik untuk menjadikan makanan sebagai media seni berupa ilusi. Dikutip dari Metro, Chef kelahiran 30 tahun lalu itu telah melabelkan dirinya sebagai food ilussionist. Ia mengaku jika kelihaiannya dalam membuat ilusi makanan didapat dari hasil keuletannya dalam mempelajari food ilussion sejak dua tahun lalu. Selama mempelajari food ilussion, Ben berujar jika ia bisa mendapatkan inspirasi dari mana saja, termasuk saat sedang bermain game. "" Saya bisa mendapatkan inspirasi dari mana saja. Tiba - tiba bisa langsung muncul di kepala atau bahkan saat saya sedang bermain video game, "" ujarnya. Hasil ketekunannya dalam mempelajari food ilussion selama dua tahun, Ben bagikan di akun Instagram pribadinya. Berbagai ilusi makanan seperti buah, sayur, ranting pohon serta pot yang berisi tanah telah berhasil ia buat dan mampu membuat para pengikutnya berdecak kagum. Dan yang paling membuat netizen terpukau adalah ilusi makanan berupa kursi tahta yang ada pada series Game of Throne. Terlihat sangat mirip dengan kursi tahta yang asli, Ben membuat ilusi ini hanya dengan menggunakan lelehan cokelat. Wow! Beragam komentar pujian pun ia dapatkan. @elsafrsyth: "" This looks amazing "" @blodeady: "" This looks brilliant "" @ichbinwasser: "" Yesss!!! Awesome! "" Tak hanya kursi tahta Game of Throne saja yang mampu ia buat. Golden Snitch atau bola emas yang dapat terbang di film Harry Potter pun bisa ia bentuk sangat mirip dengan aslinya. Setelah berhasil membuat beberapa ilusi menakjubkan, Ben menuangkan semua resep dan tata cara pembuatannya ke dalam buku yang siap ia terbitkan dalam waktu dekat. Nampaknya Ben akan terus meningkatkan kemampuannya dengan menciptakan berbagai ilusi terbaru, sesuai tren yang berkembang saat ini. Kita tunggu saja hasil karya Ben selanjutnya ya!",Ketekunan dan kegigihan akan menghasilkan kualitas yang berbeda dari masing-masing chef. Seperti Ben Churchill yang telah berpengalaman dalam bidang masak memasak sejak 10 tahun lalu. Chef kelahiran 30 tahun lalu itu telah melabelkan dirinya sebagai food ilussionist. Ia mengaku jika kelihaiannya dalam membuat ilusi makanan didapat dari hasil keuletannya dalam mempelajari food ilussion sejak dua tahun lalu.," memakan waktu bertahun - tahu lamanya bagi seseorang untuk menyandang gelar chef. ketekunan dan kegigihan akan menghasilkan kualitas yang berbeda dari masing-masing chef. seperti ben churchill yang telah berpengalaman dalam bidang masak memasak sejak 10 tahun lalu. berbeda dari chef pada umunya yang mungkin lebih tertarik bekerja di restoran atau hotel berbintang, ben justru meninggalkan aktivitas hariannya tersebut untuk menekuni bidang food ilussion. meskipun masih berkutat di"
37,"JAKARTA (Pos Kota) – Lima pengedar sabu jaringan Malaysia digulung jajaran Subdit Resnarkoba Polda Metro Jaya dengan total barang bukti 20,4 kilogram sabu. Untuk mengelabui petugas kawanan ini memasukkan sabu dengan bungkus teh Cina. Lima tersangka yang ditangkap yakni Safrizal alias Rizal, Razali, Mulyadi Zen alias Mul, Muzakkir alias Zakir, dan Jajang Saepudin bin Enceng Suwardi. Direktur Reserse Narkoba Polda Metro Jaya Kombes Suwondo Nainggolan mengatakan, pengungkapan sindikat ini bermula dari informasi yang diterima dari masyarakat dan ditindaklanjuti oleh tim yang dipimpin Kasubdit II Ditres Narkoba Polda Metro Jaya AKBP Doni Alexander. Rabu 4 Oktober 2017 pukul 12.12 WIB anggota menangkap Safrizal alias Rizal di Jalan Walang Timur, Koja, Jakarta Utara. Dari tangan pria ini disita tiga bungkus teh Cina berisi sabu seberat 3,3 kilogram. “ Kami mendapatkan informasi ada sabu tujuh kilo lagi di rumahnya, tapi barang tersebut sudah tidak ada. Dari informasi barang telah dipindah oleh tersangka Razali, ” kata Suwondo di Mapolda Metro Jaya, Minggu, (8 / 10 / 2017). Berbekal informasi tersebut, anggota mengejar dan membekuk Razali, Mulyadi, dan Muzakkir, pada Jumat, (6 / 10), di penginapan Pondok Wisata Anugrah Jaya Bulak Laut, Pangandaran, Jawa Barat. “ Tersangka Razali mengakui telah mengambil jenis sabu dari rumah Rizal lalu diserahkan kepada Jajang Saepudin, ” beber Suwondo. Pada hari yang sama Jajang dibekuk di depan hotel di kawasan Pamugaran Bulak Laut, Pangandaran, Jawa Barat. Kepada polisi, Jajang mengaku menyimpan sabu di mobil Honda CRV yang terparkir di Dusun Pangarengan, Pangandaran, Jawa Barat, dan benar saja polisi mengamankan barang bukti sabu seberat 17 kilogram. “ Total Sabu seluruhnya 20,419 kilogram. 17 masih terbungkus plastik, sebagian terpecah, ada yang 50 gram, 100 gram, dan 75 gram, ” katanya. Sindikat ini mengcover kegiatannya dengan berjualan obat, dari lima pelaku empat orang selain tersangka Jajang mempunyai toko obat rakyat. Dan saat dilakukan penggeledahan pada toko-toko tersebut polisi mengamankan obat-obatan yang dilarang. Namun, Suwondo menyebut jika toko obat milik tersangka tidak menyediakan sabu dan pelaku tidak memiliki baground seorang apoteker. Polisi juga menyita sejumlah telepon genggam, tiga mobil, motor, dan sejumlah surat-surat perbankan. Atas perbuatannya,    pelaku dijerat pasal berlapis, yakni Pasal 114 ayat 2 juncto Pasal 132 ayat 1 subsider Pasal 112 ayat 2 juncto Pasal 132 ayat 1 Undang - undang Nomor 35 Tahun 2009 tentang narkotika. (yendhi)","Lima pengedar sabu jaringan Malaysia digulung jajaran Subdit Resnarkoba Polda Metro Jaya dengan total barang bukti 20,4 kilogram sabu. Untuk mengelabui petugas kawanan ini memasukkan sabu dengan bungkus teh Cina. Lima tersangka yang ditangkap yakni Safrizal alias Rizal, Razali, Mulyadi Zen alias Mul, Muzakkir alias Zakir, dan Jajang Saepudin bin Enceng Suwardi. Total sabu yang disita polisi seluruhnya 20,419 kilogram."," lima pengedar sabu jaringan malaysia digulung jajaran subdit resnarkoba polda metro jaya dengan total barang bukti 20,4 kilogram sabu. untuk mengelabui petugas kawanan ini memasukkan sabu dengan bungkus teh cina. lima tersangka yang ditangkap yakni safrizal alias rizal, razali, mulyadi zen alias mul, muzakkir alias zakir, dan jajang saepudin bin enceng suwardi. pengungkapan sindikat ini"
